"Anxiety1: by counties, local and unitary authorities; 2011/12  – 2015/162",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,Back to contents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adults aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,
,,Average (mean) ratings,,,,,,,,,,,,,,,,,,,,,,
,,2011/12,2012/13,2013/14,2014/15,2015/16,,,,,,,,,,,,,,,,,,
Area Codes,Area Names ,,,,,,,,,,,,,,,,,,,,,,,
E07000239,Wyre Forest,2.75,3.15,2.37,2.92,2.89,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000006,EAST,3.07,2.97,2.96,2.82,2.78,,,,,,,,,,,,,,,,,,
E06000055,Bedford,3.40,3.14,2.74,2.86,2.96,,,,,,,,,,,,,,,,,,
E06000056,Central Bedfordshire,3.01,2.73,3.07,2.71,2.61,,,,,,,,,,,,,,,,,,
E06000032,Luton,3.09,2.83,3.14,2.99,2.80,,,,,,,,,,,,,,,,,,
E06000031,Peterborough,3.34,2.94,3.20,2.86,2.89,,,,,,,,,,,,,,,,,,
E06000033,Southend-on-Sea,2.92,3.05,3.00,2.88,2.76,,,,,,,,,,,,,,,,,,
E06000034,Thurrock,3.36,3.07,2.88,3.00,2.79,,,,,,,,,,,,,,,,,,
E10000003,Cambridgeshire,3.09,2.98,2.68,2.77,3.08,,,,,,,,,,,,,,,,,,
E07000008,Cambridge,3.04,3.48,3.14,2.65,3.50,,,,,,,,,,,,,,,,,,
E07000009,East Cambridgeshire,3.73,2.83,2.95,2.86,2.89,,,,,,,,,,,,,,,,,,
E07000010,Fenland,2.56,2.75,2.10,2.72,3.27,,,,,,,,,,,,,,,,,,
E07000011,Huntingdonshire,2.99,2.64,2.39,2.86,2.99,,,,,,,,,,,,,,,,,,
E07000012,South Cambridgeshire,3.23,3.17,2.82,2.75,2.82,,,,,,,,,,,,,,,,,,
E10000012,Essex,2.97,2.95,2.89,2.59,2.80,,,,,,,,,,,,,,,,,,
E07000066,Basildon,3.25,3.10,2.90,2.73,3.02,,,,,,,,,,,,,,,,,,
E07000067,Braintree,2.75,2.81,3.01,2.77,2.58,,,,,,,,,,,,,,,,,,
E07000068,Brentwood,3.72,3.35,3.17,2.52,3.15,,,,,,,,,,,,,,,,,,
E07000069,Castle Point,3.12,3.37,3.36,2.81,2.51,,,,,,,,,,,,,,,,,,
E07000070,Chelmsford,2.94,2.68,2.70,2.48,2.42,,,,,,,,,,,,,,,,,,
E07000071,Colchester,3.37,3.02,2.64,2.26,2.38,,,,,,,,,,,,,,,,,,
E07000072,Epping Forest,2.92,2.80,2.75,3.01,2.99,,,,,,,,,,,,,,,,,,
E07000073,Harlow,2.62,3.16,3.06,2.88,3.05,,,,,,,,,,,,,,,,,,
E07000074,Maldon,2.65,2.54,3.20,2.93,2.37,,,,,,,,,,,,,,,,,,
E07000075,Rochford,2.27,3.08,2.88,2.30,2.88,,,,,,,,,,,,,,,,,,
E07000076,Tendring,2.92,2.85,2.93,2.29,3.31,,,,,,,,,,,,,,,,,,
E07000077,Uttlesford,2.63,2.87,2.55,2.25,3.30,,,,,,,,,,,,,,,,,,
E10000015,Hertfordshire ,2.94,3.05,3.07,3.04,2.65,,,,,,,,,,,,,,,,,,
E07000095,Broxbourne,2.75,2.82,3.10,3.40,2.70,,,,,,,,,,,,,,,,,,
E07000096,Dacorum,2.77,3.04,3.24,2.72,2.37,,,,,,,,,,,,,,,,,,
E07000242,East Hertfordshire,2.93,3.00,3.12,3.41,2.94,,,,,,,,,,,,,,,,,,
E07000098,Hertsmere,3.24,3.12,3.02,3.51,2.63,,,,,,,,,,,,,,,,,,
E07000099,North Hertfordshire,2.69,2.77,2.72,2.83,2.70,,,,,,,,,,,,,,,,,,
E07000240,St Albans,2.81,3.11,3.53,3.07,2.33,,,,,,,,,,,,,,,,,,
E07000243,Stevenage,2.88,3.77,3.00,2.95,2.89,,,,,,,,,,,,,,,,,,
E07000102,Three Rivers,3.30,2.79,2.77,3.06,2.60,,,,,,,,,,,,,,,,,,
E07000103,Watford,3.39,2.89,2.79,2.91,2.18,,,,,,,,,,,,,,,,,,
E07000241,Welwyn Hatfield,2.88,3.25,3.15,2.68,3.17,,,,,,,,,,,,,,,,,,
E10000020,Norfolk ,3.30,3.02,3.02,2.75,2.65,,,,,,,,,,,,,,,,,,
E07000143,Breckland,3.45,2.73,3.14,3.11,2.86,,,,,,,,,,,,,,,,,,
E07000144,Broadland,3.28,2.88,3.12,3.08,2.37,,,,,,,,,,,,,,,,,,
E07000145,Great Yarmouth,3.33,2.74,3.23,2.81,2.43,,,,,,,,,,,,,,,,,,
E07000146,King’s Lynn and West Norfolk,3.22,3.06,3.00,2.22,2.24,,,,,,,,,,,,,,,,,,
